experiment,mode,model_or_op,shape_desc,warmup_iters,measure_iters,mean_ms,std_ms,min_ms,max_ms,compile_time_s,peak_memory_mb,notes
DVM_baseline,eager,MatMul,128x768 @ 768x3072,10,100,0.2088029980659485,0.039288535714149475,0.19789999723434448,0.4487000107765198,,,
DVM_baseline,jit_trace,MatMul,128x768 @ 768x3072,10,100,0.22283300757408142,0.03638546168804169,0.21139998733997345,0.4229999780654907,0.05535049999889452,,
DVM_baseline,eager,MatMul,64x512 @ 512x2048,10,100,0.08604700118303299,0.02990245446562767,0.07779999822378159,0.3070000112056732,,,
DVM_baseline,jit_trace,MatMul,64x512 @ 512x2048,10,100,0.09924399107694626,0.029106024652719498,0.09229999035596848,0.3018999993801117,0.005570199995418079,,
DVM_baseline,eager,MatMul,32x256 @ 256x1024,10,100,0.04109499976038933,0.02417798526585102,0.036900006234645844,0.2800999879837036,,,
DVM_baseline,jit_trace,MatMul,32x256 @ 256x1024,10,100,0.05316599830985069,0.02590101584792137,0.04660000652074814,0.30239999294281006,0.004964499996276572,,
DVM_baseline,eager,MatMul,4x128x768 @ 768x3072 (batched),10,100,0.7032020688056946,0.09959161281585693,0.6654999852180481,1.0348000526428223,,,
DVM_baseline,jit_trace,MatMul,4x128x768 @ 768x3072 (batched),10,100,0.6687380075454712,0.08911836892366409,0.6208999752998352,1.0842000246047974,0.011040600002161227,,
DVM_baseline,eager,Add,128x3072,10,100,0.04522499442100525,0.02151000127196312,0.04069998860359192,0.2542000114917755,,,
DVM_baseline,jit_trace,Add,128x3072,10,100,0.05606399476528168,0.02050994522869587,0.052000004798173904,0.25609999895095825,0.006570800003828481,,
DVM_baseline,eager,Add,64x2048,10,100,0.018992001190781593,0.0021197330206632614,0.017900004982948303,0.032600000500679016,,,
DVM_baseline,jit_trace,Add,64x2048,10,100,0.04321799799799919,0.024634594097733498,0.033000003546476364,0.20160000026226044,0.0051266999944346026,,
DVM_baseline,eager,Add,4x128x3072 (batched),10,100,0.12212200462818146,0.027103036642074585,0.1167999878525734,0.3109999895095825,,,
DVM_baseline,jit_trace,Add,4x128x3072 (batched),10,100,0.13537099957466125,0.028068698942661285,0.12719999253749847,0.3059000074863434,0.008663300002808683,,
DVM_baseline,eager,LayerNorm,"4x128x768, norm=768",10,100,0.05311699956655502,0.021796436980366707,0.04680000618100166,0.20729999244213104,,,
DVM_baseline,jit_trace,LayerNorm,"4x128x768, norm=768",10,100,0.05841299891471863,0.023097701370716095,0.05229999125003815,0.23970000445842743,0.04427840000425931,,
DVM_baseline,eager,LayerNorm,"1x64x512, norm=512",10,100,0.04055200144648552,0.002607429400086403,0.037599995732307434,0.05480001121759415,,,
DVM_baseline,jit_trace,LayerNorm,"1x64x512, norm=512",10,100,0.05578699707984924,0.027409465983510017,0.04309999197721481,0.26030001044273376,0.005458599989651702,,
DVM_baseline,eager,Softmax,4x12x128x128 (attention scores),10,100,0.05220000445842743,0.018706414848566055,0.04820000380277634,0.23480001091957092,,,
DVM_baseline,jit_trace,Softmax,4x12x128x128 (attention scores),10,100,0.061771001666784286,0.01707390695810318,0.05630000680685043,0.23020000755786896,0.005879600008483976,,
DVM_baseline,eager,Softmax,1x12x64x64,10,100,0.018085001036524773,0.0015326341381296515,0.017099998891353607,0.029300004243850708,,,
DVM_baseline,jit_trace,Softmax,1x12x64x64,10,100,0.03353999927639961,0.018852006644010544,0.027500005438923836,0.2190999984741211,0.004470600004424341,,
DVM_baseline,eager,MatMul+Add+ReLU,4x128x768 @ 768x3072 + bias + relu,10,100,0.7776070237159729,0.08468176424503326,0.7041999697685242,1.1404000520706177,,,
DVM_baseline,jit_trace,MatMul+Add+ReLU,4x128x768 @ 768x3072 + bias + relu,10,100,0.720693051815033,0.09234768152236938,0.6448000073432922,1.128999948501587,0.011742999995476566,,
DVM_BERT,eager,BERT-base,"batch=1, seq=32",10,100,7.390444755554199,1.3798801898956299,6.278500080108643,11.726300239562988,,433.35595703125,
DVM_BERT,jit_trace,BERT-base,"batch=1, seq=32",10,100,4.684213161468506,0.14740794897079468,4.437099933624268,5.192800045013428,0.8769503999938024,433.16943359375,
DVM_BERT,eager,BERT-base,"batch=1, seq=64",10,100,6.705173492431641,1.2749656438827515,5.936999797821045,11.248499870300293,,434.107421875,
DVM_BERT,jit_trace,BERT-base,"batch=1, seq=64",10,100,5.587823390960693,0.44914495944976807,5.229400157928467,8.662400245666504,0.8257970999984536,433.73486328125,
DVM_BERT,eager,BERT-base,"batch=1, seq=128",10,100,10.623665809631348,0.405056893825531,9.87399959564209,12.417400360107422,,436.73388671875,
DVM_BERT,jit_trace,BERT-base,"batch=1, seq=128",10,100,10.389761924743652,0.24249643087387085,9.772199630737305,11.133600234985352,0.8269446000049356,435.998046875,
DVM_BERT,eager,BERT-base,"batch=1, seq=256",10,100,16.7772274017334,0.2746112644672394,16.39069938659668,17.759000778198242,,440.36328125,
DVM_BERT,jit_trace,BERT-base,"batch=1, seq=256",10,100,17.073989868164062,0.3885919153690338,16.503700256347656,18.96139907836914,0.8453678999940166,438.9228515625,
DVM_BERT,eager,BERT-base,"batch=2, seq=32",10,100,7.524492263793945,1.9023908376693726,5.901800155639648,11.057700157165527,,434.11181640625,
DVM_BERT,jit_trace,BERT-base,"batch=2, seq=32",10,100,5.6197509765625,0.18121455609798431,5.292500019073486,6.150000095367432,0.8242620000091847,433.73291015625,
DVM_BERT,eager,BERT-base,"batch=2, seq=64",10,100,10.303069114685059,0.3290429413318634,9.837599754333496,11.612500190734863,,436.73388671875,
DVM_BERT,jit_trace,BERT-base,"batch=2, seq=64",10,100,10.290848731994629,0.26334428787231445,9.98069953918457,11.722399711608887,0.8574996999959694,435.990234375,
DVM_BERT,eager,BERT-base,"batch=2, seq=128",10,100,16.224380493164062,0.36365869641304016,15.717000007629395,17.476200103759766,,440.36328125,
DVM_BERT,jit_trace,BERT-base,"batch=2, seq=128",10,100,16.190486907958984,0.2830018699169159,15.84850025177002,17.5408992767334,0.8352523999928962,438.8916015625,
DVM_BERT,eager,BERT-base,"batch=2, seq=256",10,100,30.63165283203125,0.39623627066612244,30.114099502563477,33.03139877319336,,450.1220703125,
DVM_BERT,jit_trace,BERT-base,"batch=2, seq=256",10,100,31.015382766723633,0.36379778385162354,30.433300018310547,32.69260025024414,0.9158878000016557,446.2412109375,
DVM_BERT,eager,BERT-base,"batch=4, seq=32",10,100,10.370121002197266,0.20942223072052002,10.028200149536133,11.003399848937988,,436.744140625,
DVM_BERT,jit_trace,BERT-base,"batch=4, seq=32",10,100,10.42382526397705,0.248006209731102,9.895500183105469,11.272199630737305,0.8569568999955663,435.986328125,
DVM_BERT,eager,BERT-base,"batch=4, seq=64",10,100,15.893864631652832,0.32039597630500793,15.398099899291992,17.066099166870117,,440.36328125,
DVM_BERT,jit_trace,BERT-base,"batch=4, seq=64",10,100,15.899236679077148,0.29586663842201233,15.415200233459473,17.53420066833496,0.8932201999996323,438.8759765625,
DVM_BERT,eager,BERT-base,"batch=4, seq=128",10,100,29.346139907836914,0.4160153269767761,28.76889991760254,31.676599502563477,,450.1220703125,
DVM_BERT,jit_trace,BERT-base,"batch=4, seq=128",10,100,29.465595245361328,0.3852909505367279,28.762699127197266,31.04829978942871,0.9158641999965766,446.1787109375,
DVM_BERT,eager,BERT-base,"batch=4, seq=256",10,100,61.578346252441406,0.5194140076637268,60.713600158691406,64.75129699707031,,465.1396484375,
DVM_BERT,jit_trace,BERT-base,"batch=4, seq=256",10,100,62.19236755371094,0.4875009059906006,61.35449981689453,64.70980072021484,0.9890554000012344,458.8779296875,
